Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
20:09:08  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD904          |null                |Threading           
20:09:09  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_TRD904          |null                |Threading           
20:09:11  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD904          |null                |Threading           
20:09:12  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD904          |null                |Threading           
20:09:14  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD904          |null                |null                
Operation B Completed!
----------------------------------------------------------------------------------------------------------------------------------
20:09:15  |Idle      |4s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:16  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:18  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:19  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:21  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_TRD213          |Pickup              |null                
20:09:22  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_TRD213          |Pickup              |null                
20:09:24  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_TRD213          |Pickup              |null                
20:09:25  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_TRD213          |Pickup              |null                
20:09:26  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:28  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:29  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:30  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:31  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:32  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_TRD213          |null                |Turning             
20:09:34  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_TRD213          |null                |Turning             
20:09:35  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_TRD213          |null                |Turning             
20:09:37  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD213          |null                |Turning             
20:09:38  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD213          |null                |Turning             
20:09:40  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_TRD213          |null                |Threading           
20:09:41  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_TRD213          |null                |Threading           
20:09:43  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_TRD213          |null                |Threading           
20:09:45  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_TRD213          |null                |Threading           
20:09:46  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
Operation B Completed!
----------------------------------------------------------------------------------------------------------------------------------
20:09:47  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_TRD213          |null                |null                
20:09:49  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:09:50  |Occupied  |2s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:09:52  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:09:53  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_DRL186          |Pickup              |null                
20:09:55  |Idle      |-s       |Occupied  |4s       |Idle      |-s       |WID_DRL186          |Pickup              |null                
20:09:56  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_DRL186          |Pickup              |null                
20:09:58  |Idle      |-s       |Occupied  |1s       |Idle      |-s       |WID_DRL186          |Pickup              |null                
20:09:59  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:10:00  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:10:01  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:10:02  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
20:10:04  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL186          |null                |Turning             
20:10:05  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL186          |null                |Turning             
20:10:07  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL186          |null                |Turning             
20:10:08  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL186          |null                |Turning             
20:10:10  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL186          |null                |Turning             
20:10:11  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL186          |null                |Drilling            
20:10:13  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL186          |null                |Drilling            
20:10:15  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL186          |null                |Drilling            
20:10:16  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL186          |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
